file_path,filename,crop,label,detection_type,image_type,width,height,status
C:\Users\risha\.gemini\antigravity\scratch\crop-disease-platform\ml\data\raw\chickpea_fusarium_wilt\specimen_001.jpg,specimen_001.jpg,Chickpea,Chickpea Fusarium Wilt,DISEASE,FIELD_IMAGE,256,256,RAW
C:\Users\risha\.gemini\antigravity\scratch\crop-disease-platform\ml\data\raw\chickpea_fusarium_wilt\specimen_002.jpg,specimen_002.jpg,Chickpea,Chickpea Fusarium Wilt,DISEASE,FIELD_IMAGE,256,256,RAW
C:\Users\risha\.gemini\antigravity\scratch\crop-disease-platform\ml\data\raw\chickpea_fusarium_wilt\specimen_003.jpg,specimen_003.jpg,Chickpea,Chickpea Fusarium Wilt,DISEASE,FIELD_IMAGE,256,256,RAW
C:\Users\risha\.gemini\antigravity\scratch\crop-disease-platform\ml\data\raw\chickpea_fusarium_wilt\specimen_004.jpg,specimen_004.jpg,Chickpea,Chickpea Fusarium Wilt,DISEASE,FIELD_IMAGE,256,256,RAW
C:\Users\risha\.gemini\antigravity\scratch\crop-disease-platform\ml\data\raw\chickpea_fusarium_wilt\specimen_005.jpg,specimen_005.jpg,Chickpea,Chickpea Fusarium Wilt,DISEASE,FIELD_IMAGE,256,256,RAW
C:\Users\risha\.gemini\antigravity\scratch\crop-disease-platform\ml\data\raw\chickpea_fusarium_wilt\specimen_006.jpg,specimen_006.jpg,Chickpea,Chickpea Fusarium Wilt,DISEASE,FIELD_IMAGE,256,256,RAW
C:\Users\risha\.gemini\antigravity\scratch\crop-disease-platform\ml\data\raw\chickpea_fusarium_wilt\specimen_007.jpg,specimen_007.jpg,Chickpea,Chickpea Fusarium Wilt,DISEASE,FIELD_IMAGE,256,256,RAW
C:\Users\risha\.gemini\antigravity\scratch\crop-disease-platform\ml\data\raw\chickpea_fusarium_wilt\specimen_008.jpg,specimen_008.jpg,Chickpea,Chickpea Fusarium Wilt,DISEASE,FIELD_IMAGE,256,256,RAW
C:\Users\risha\.gemini\antigravity\scratch\crop-disease-platform\ml\data\raw\chickpea_fusarium_wilt\specimen_009.jpg,specimen_009.jpg,Chickpea,Chickpea Fusarium Wilt,DISEASE,FIELD_IMAGE,256,256,RAW
C:\Users\risha\.gemini\antigravity\scratch\crop-disease-platform\ml\data\raw\chickpea_fusarium_wilt\specimen_010.jpg,specimen_010.jpg,Chickpea,Chickpea Fusarium Wilt,DISEASE,FIELD_IMAGE,256,256,RAW
C:\Users\risha\.gemini\antigravity\scratch\crop-disease-platform\ml\data\raw\chickpea_fusarium_wilt\specimen_011.jpg,specimen_011.jpg,Chickpea,Chickpea Fusarium Wilt,DISEASE,FIELD_IMAGE,256,256,RAW
